ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text
3915941300,bella_ragazza_1,1081,255,,0,664,42,RT @PrisonPlanet: Lawrence O’Donnell gets triggered by Trump's UN speech. 😄 https://t.co/OdOH9ysM7Q
876285722189320192,rip_SETH_RICH,32,1843,,0,203,0,RT @NewtTrump: We now know both Clapper and Comey perjured themselves multiple times. They wiretapped Trump and  lied about it. Where the h…
614481428,BossMediaUSA,1959,109,,0,4998,69,"RT @amjoyshow: 'Yup, We're Embarrassed Too': Photo Shows WH Chief of Staff Kelly Face-Palming During #Trump's UN Speech https://t.co/DXH6Rs…"
824887286747664386,EndorNPS,2501,10,,0,634,46,"RT @The_Borg_Queen_: #GrahamCassidyBill Trump said @billcassidy is a 'class act' Just because he's a doctor doesn't mean he's GOOD. 
Rememb…"
3386631159,alanisgabxo,292,7655,,0,255,3,RT @eatjaredtweets: Barack Obama to Donald DickHead Trump https://t.co/qgDSiHNAGA
98981713,ADRIANNACORONAD,497,0,,0,1655,4,"#Repost from @venezueladice_ with https://t.co/GeX49aSA0E 
 ... 

Trump en la ONU. #vld1 https://t.co/xxSvEGGIF6"
963620317,tinyideas1,228,238,,0,308,13,RT @peterdaou: He tries to fly under the radar but just a reminder that #MikePence fully supports Trump's views. https://t.co/OPQyAUd75g
100987374,TrueBlueLiberal,5805,3018,,0,5990,186,"RT @brianklaas: The day after Trump tweeted this in 2016, his campaign chairman e-mailed a billionaire oligarch/Putin ally &amp; offered him a…"
503563566,MargoGebhard,25,5579,,0,137,0,RT @GeorgeTakei: Trump claims the wiretapping of Manafort was politically motivated. But the original FISA warrant issued before Trump decl…
259490295,Gift2USA,4071,21,,0,4544,287,"RT @derekwillis: Scenarios like this are why ""voter fraud"" is such a fluid term: https://t.co/IP5cV6Ec1t https://t.co/csS0bIDmvh"
825534360875102208,Donnie00050,99,696,,0,158,1,"RT @GrizzleMaximus: Nikki Haley defended President Trump's brutally honest #RocketMan speech. 
'International community appreciated the blu…"
265755224,ECmadtown,1026,131,,0,1656,93,"RT @ABC: Republican National Committee spent over $230,000 last month to cover Pres. Trump's legal fees over Russian probe https://t.co/34y…"
835245119850835969,Mtnchan1,313,1,lynngrayson,1,662,1,@lynngrayson @wienerherzog2 @llotus6 @calamiTcat @WordBrian @SharmilaW @TheRestinDane @MahaRaTruth @Gentle1111Chaos… https://t.co/AbjI83wW1T
2288299586,KittyKittyClaws,2602,759,,0,4154,4,RT @2Chron169: .@MSNBC host says Trump voters are unsophisticated This type of unethical bias journalism is why we voted Trump   https://t.…
7694352,cpen,27499,367,,0,1189,514,RT @BuzzFeedNews: Donald Trump's childhood home is on Airbnb—so @Oxfam rented it out to welcome refugees and send world leaders a message h…
2893385842,expiredfish,83,6336,,0,69,6,RT @IrisRimon: Donald Trump once spent his days grabbing random women by the pussy. Last year you elected him president. https://t.co/x2zN0…
202438170,shutiggyup,189,0,GlennDOrdway,0,48,3,@GlennDOrdway @LouMerloni @christianfauria If Tom had a Hillary instead of a Trump cap in his locker no one would be attacking TB12Nutrition
286827780,TheFritz75,133,231,,0,654,2,"RT @laurenduca: If ""the media"" was a liberal info machine, there'd be a full-fledged narrative about how Trump might have dementia (see als…"
20133656,SamSerafy,96,11,,0,398,1,RT @asadabukhalil: And they keep telling me that this was the sane and rational alternative to Trump... https://t.co/LqCpoe7vSl
749386460969766912,DeeRock_CFS,228,1,,0,225,6,RT @phillyMetsfan: It’s 10am and @gsmwc02 hasn’t tweeted about Trump yet. I’m very concerned @DeeRock_CFS @PattyWhite_NYM
1573019408,tammyayalagfpt,25,339,,0,183,0,"RT @KNP2BP: @seanhannity @LeslieMarshall @JoeConchaTV @LouDobbs 

Here's the TRUTH

Kelly held head in hand 10:20 am

Trump spoke 10:30

Mo…"
3121709018,holmanland,471,172,,0,149,28,"RT @OMGno2trump: Hey #MAGA and @GOP, forget Hillary's emails.  Manafort and Trump Jr have some whoppers. @FoxNews won't tell you. 

https:/…"
910539040780406785,AbimelecAltier1,3,0,realDonaldTrump,0,63,0,@realDonaldTrump @ricardorossello Donald Trump thanks you for your job!!🇵🇷🇺🇸
